epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3372,1.37651,2.74934,1.44501,0.95994,0.32908,0.58115,0.40794,1.21625,2.50301,1.15927,0.00046641,0.00046641,0.00046641
2,29.7841,1.28177,1.34254,1.45416,0.73639,0.76865,0.87561,0.58933,1.1789,1.09783,1.24621,0.00093341,0.00093341,0.00093341
3,41.1084,1.24898,1.20379,1.3951,0.78598,0.84439,0.86813,0.57281,1.15867,1.09959,1.24647,0.00139098,0.00139098,0.00139098
4,52.3138,1.23505,1.12497,1.34984,0.71845,0.90152,0.86329,0.57429,1.16282,0.96452,1.22081,0.00138656,0.00138656,0.00138656
5,63.5387,1.20038,1.05691,1.31033,0.79722,0.9135,0.87989,0.58622,1.23977,0.97025,1.25304,0.00137241,0.00137241,0.00137241
6,74.6606,1.17789,1.03453,1.29168,0.80837,0.90378,0.89451,0.58687,1.19364,0.91688,1.26527,0.00135826,0.00135826,0.00135826
7,85.8092,1.16803,1.00638,1.28024,0.82793,0.86195,0.89442,0.58654,1.14865,0.91771,1.2075,0.00134412,0.00134412,0.00134412
8,97.1055,1.17099,0.97396,1.26764,0.81255,0.90894,0.8989,0.59533,1.19761,0.89815,1.24927,0.00132997,0.00132997,0.00132997
9,108.314,1.14446,0.95897,1.2517,0.81606,0.91019,0.90964,0.60577,1.19438,0.94475,1.24876,0.00131582,0.00131582,0.00131582
10,119.595,1.15819,0.95481,1.26039,0.82368,0.89996,0.89859,0.6009,1.1666,0.98375,1.24717,0.00130168,0.00130168,0.00130168
11,130.785,1.14838,0.93423,1.26099,0.826,0.8613,0.90659,0.6121,1.1347,0.8934,1.24653,0.00128753,0.00128753,0.00128753
12,141.998,1.14557,0.91916,1.25496,0.80775,0.90433,0.90265,0.61175,1.23318,0.98149,1.30338,0.00127338,0.00127338,0.00127338
13,153.207,1.13746,0.90661,1.25293,0.82608,0.8887,0.90761,0.60497,1.22568,0.85636,1.27639,0.00125923,0.00125923,0.00125923
14,164.299,1.13662,0.89752,1.23936,0.83609,0.92446,0.90711,0.61479,1.14892,0.88361,1.23135,0.00124509,0.00124509,0.00124509
15,175.515,1.13208,0.88612,1.23775,0.7622,0.90152,0.87656,0.58229,1.11482,0.84878,1.24349,0.00123094,0.00123094,0.00123094
16,186.641,1.13934,0.87533,1.23817,0.77306,0.95035,0.90164,0.62458,1.10454,0.94482,1.21731,0.00121679,0.00121679,0.00121679
17,197.754,1.11954,0.8784,1.22835,0.82504,0.904,0.9031,0.61068,1.09926,0.84339,1.21509,0.00120265,0.00120265,0.00120265
18,208.854,1.10321,0.86015,1.22546,0.83485,0.91309,0.91388,0.62169,1.08418,0.81112,1.20824,0.0011885,0.0011885,0.0011885
19,220.013,1.10047,0.84463,1.21637,0.86614,0.89075,0.9075,0.62409,1.14673,0.81734,1.26068,0.00117435,0.00117435,0.00117435
20,231.18,1.11413,0.8423,1.22728,0.86354,0.87954,0.9196,0.62816,1.10666,0.80386,1.24869,0.00116021,0.00116021,0.00116021
21,242.379,1.10309,0.8382,1.22429,0.82412,0.89586,0.90551,0.61718,1.13001,0.81021,1.25738,0.00114606,0.00114606,0.00114606
22,253.5,1.0985,0.83729,1.22793,0.82436,0.93192,0.88907,0.60749,1.13818,0.79753,1.23071,0.00113191,0.00113191,0.00113191
23,264.568,1.09337,0.81773,1.21805,0.8402,0.92629,0.90653,0.6106,1.09522,0.78388,1.23489,0.00111776,0.00111776,0.00111776
24,275.645,1.08971,0.82426,1.21313,0.83011,0.91421,0.89751,0.61536,1.09663,0.77415,1.24589,0.00110362,0.00110362,0.00110362
25,286.755,1.09716,0.81899,1.21804,0.83483,0.89933,0.90125,0.60539,1.15996,0.7787,1.28389,0.00108947,0.00108947,0.00108947
26,297.83,1.0844,0.80275,1.20941,0.83618,0.89618,0.89888,0.63588,1.06389,0.7523,1.20916,0.00107532,0.00107532,0.00107532
27,308.919,1.08687,0.80124,1.19569,0.83345,0.92,0.90943,0.62095,1.12672,0.76552,1.23921,0.00106118,0.00106118,0.00106118
28,320.134,1.0893,0.81463,1.20849,0.84338,0.91634,0.9112,0.6263,1.16457,0.83049,1.27308,0.00104703,0.00104703,0.00104703
29,331.351,1.06478,0.78056,1.19598,0.84566,0.91462,0.91832,0.64068,1.13218,0.7371,1.26087,0.00103288,0.00103288,0.00103288
30,342.447,1.06524,0.79573,1.20007,0.85516,0.89102,0.91335,0.64292,1.09548,0.75152,1.25633,0.00101873,0.00101873,0.00101873
31,353.625,1.07827,0.80053,1.20759,0.81625,0.93255,0.90922,0.62275,1.1378,0.81279,1.24636,0.00100459,0.00100459,0.00100459
